PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket
1,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599
3,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803
5,3,"Allen, Mr. William Henry",male,35.0,0,0,373450
6,3,"Moran, Mr. James",male,,0,0,330877
7,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463
8,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909
9,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742
10,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736
11,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549
12,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783
13,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151
14,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082
15,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406
16,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706
17,3,"Rice, Master. Eugene",male,2.0,4,1,382652
18,2,"Williams, Mr. Charles Eugene",male,,0,0,244373
19,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763
20,3,"Masselmani, Mrs. Fatima",female,,0,0,2649
21,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865
22,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698
23,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923
24,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788
25,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909
26,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077
27,3,"Emir, Mr. Farred Chehab",male,,0,0,2631
28,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950
29,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959
30,3,"Todoroff, Mr. Lalio",male,,0,0,349216
31,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569
33,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677
34,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579
35,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604
36,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789
37,3,"Mamee, Mr. Hanna",male,,0,0,2677
38,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152
39,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764
40,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651
41,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546
42,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668
43,3,"Kraeff, Mr. Theodor",male,,0,0,349253
44,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123
45,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958
46,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567
47,3,"Lennon, Mr. Denis",male,,1,0,370371
48,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311
49,3,"Samaan, Mr. Youssef",male,,2,0,2662
50,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237
51,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295
52,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572
54,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926
55,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509
56,1,"Woolner, Mr. Hugh",male,,0,0,19947
57,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026
58,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697
59,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651
